text,label,label_confidence
"['scp160p', 'implicated', 'network', 'sesa', 'smy2eap1scp160asc1', 'network', 'function', 'translational', 'activator', '1125', '.']",background,1.0
"['clinical', 'reports', 'energetic', 'stress', 'hcm', 'hearts', '14', '15', 'prompted', 'measure', 'mitochondrial', 'respiration', 'mitochondrial', 'copy', 'number', 'ros', 'emissionscavenging', 'calcium', 'handling', '2', 'hcm', 'mouse', 'models', '.']",method,0.7742
"['previous', 'empirical', 'analyses', 'subnational', 'consumer', 'subsidies', 'found', 'majority', 'solar', 'adoption', 'attributable', 'subsidies', 'e.g.', 'hughes', 'podolefsky', '2015', 'burr', '2016', 'de', 'groote', 'verboven', '2016', 'gillingham', 'tsvetanov', '2017', '.']",background,0.7601
"['group', 'proteins', 'necessary', 'cope', 'alterations', 'electron', 'xow', 'ndhd2', 'ocp', 'thioredoxinlike', 'ahpc', 'ohkawa', 'et', 'al', '.', '2000', 'kobayashi', 'et', 'al', '.', '2004', 'wilson', 'et', 'al', '.', '2006', '.']",background,0.7749
"['results', 'consistent', 'field', 'observations', 'plasma', 'electrolyte', 'concentrations', 'thermal', 'behaviour', 'lizards', 'sauromalus', 'hispidus', 'uromastix', 'acanthinurus', 'grenot', '1976', 'smits', '1984', 'laboratory', 'observations', 's.', 'hispidus', 'smits', 'et', 'al', '.', '1986', '.']",result,0.8766060452990057
"['4', 'lead', 'decrease', 'sc', 'absorption', 'mice', 'deng', 'et', 'al', '.', '2010', 'deng', 'et', 'al', '.', '2012', '.']",background,1.0
"['found', 'snps', 'mmp1', 'linked', 'increased', 'risk', 'colorectal', 'cancer', '1213', '.']",background,1.0
"['matricellular', 'proteins', 'thought', 'contribute', 'organization', 'biomechanical', 'stability', '\n', 'ecm', 'modulating', 'cellmatrix', 'interactions', 'cell', 'signaling', 'serving', 'directly', 'structural', 'components', 'bornstein', 'et', 'al', '.', '2000', '.']",background,0.7141
"['beneficial', 'role', 'pbm', 'supportive', 'modality', 'management', 'postmastectomy', 'lymphedema', 'established', 'based', 'strong', 'evidence', '15', '16', 'recent', 'data', 'suggest', 'beneficial', 'role', 'concerning', 'radiationinduced', 'oral', 'mucositis', '1720', '.']",background,1.0
"['mitochondrial', 'transmembrane', 'potential', 'measured', 'flow', 'cytometry', 'cells', 'stained', '5566', 'tetrachloro1133tetraethylbenzimidazolcarbocyanineiodide', 'jc1', 'cossarizza', 'et', 'al', '.', '1993', 'described', 'previously', 'dymkowska', 'et', 'al', '.', '2006', '.']",method,1.0
"['language', 'models', 'characterngrams', 'trained', 'texts', 'corpus', 'spontaneous', 'japanese', 'csj', '23', 'contains', '12', '.']",method,1.0
"['cisplatin', 'dramatically', 'line', 'treatment', 'types', 'solid', 'tumors', 'breast', 'head', 'neck', 'ovarian', 'lung', 'cancers', '17', '.']",background,0.765
"['recent', 'years', 'similar', 'genotype', 'shift', 'observed', 'south', 'korea', 'northern', 'vietnam', 'china', 'taiwan', 'thailand', 'chen', 'et', 'al', '.', '2011', 'nam', 'et', 'al', '.', '1996', 'nga', 'et', 'al', '.', '2004', 'nitatpattana', 'et', 'al', '.', '2008', 'pan', 'et', 'al', '.', '2011', 'wang', 'et', 'al', '.', '2007', 'yang', 'et', 'al', '.', '2004', 'yun', 'et', 'al', '.', '2010', 'zhang', 'et', 'al', '.', '2009', '2011', '.']",background,0.7436
"['localization', 'additional', 'γtubulin', 'surrounds', 'centrosomes', 'mitosis', 'require', 'microtubules', 'mcnally', 'thomas', '1998', 'khodjakov', 'rieder', '1999', '.']",background,1.0
"['consistent', 'currentlyheld', 'notion', 'dsrna', 'targets', 'genespecific', 'destruction', 'mrna', 'wide', 'variety', 'eukaryotic', 'cells', 'fire', 'et', 'al', '.', '1998', 'tabara', 'et', 'al', '.', '1998', 'tabara', 'et', 'al', '.', '1999', 'sanchezalvorado', 'newmark', '1999', 'grishok', 'et', 'al', '.', '2000', 'boscher', 'labouesse', '2000']",background,0.7189
"['spermatogonial', 'transplantation', 'performed', 'recipients', 'prepared', 'described', 'previously', '7', '.']",method,0.6036
"['examples', 'contradictory', 'results', 'observed', 'bovines', 'reports', 'zakhartchenko', 'et', 'al', '.', '2001', 'bhuiyan', 'et', 'al', '.', '2004', 'indicated', 'significant', 'decrease', 'blastocyst']",result,0.7661
"['increasing', 'number', 'epiya', 'motifs', 'leads', 'increase', 'level', 'caga', 'phosphorylation', 'higashi', 'et', 'al', '.', '2002a', 'argent', 'et', 'al', '.', '2004', '2008a', 'zhang', 'et', 'al', '.', '2005', 'naito', 'et', 'al', '.', '2006', '.']",background,1.0
"[' ', '2008', 'srebp12', 'known', 'interact', 'hmgb12', 'activity', 'reported', 'enhanced', 'hmgb1', 'najima', 'et', 'al', '.', '2005', '.']",background,1.0
"['keeping', 'report', 'blickstein', 'et', 'al315', 'showed', 'higher', 'combined', 'twin', 'birthweight', 'likely', 'deliver', 'discordant', 'pairs', '.']",result,0.7
"['coinciding', 'results', 'previously', 'reported', 'i.p', '.', 'injections', 'βglucan', 'reduced', 'ifnγ', 'production', 'induced', 'concanavalin', 'mice', 'pelizon', 'et', 'al', '.', '2003', '.']",result,1.0
"['occurrence', 'soft', 'tissue', 'tumors', 'field', 'lowdose', 'irradiation', 'ldri', 'emphasized', 'authors', '50', '52', '53', 'reporting', 'development', 'tumors', 'skull', 'bone', 'neck', 'exposure', 'fullmouth', 'diagnostic', 'dental', 'xray', 'film', '3', 'irradiation', 'enlarged', 'tonsils', '54', 'thymus', '55', '.']",result,0.8766060452990057
"['chapter', 'present', 'formalism', 'different', 'kinds', 'beamformers', 'scalar', 'form', 'develop', 'formalism', 'vector', 'beamformer', 'sekihara', 'et', 'al', '.', '2001', 'quraan', 'cheyne', '2010', 'eigenstateprojected', 'vector', 'beamformer', 'sekihara', 'et', 'al', '.', '2001', '.']",background,0.7406
"[' ', '2010', 'retromer', 'tubule', 'formation', 'reported', 'maximal', 'time', 'rab5torab7', 'conversion', 'cullen', 'korswagen', '2012', 'van', 'weering', 'et', 'al', '.', '2012', '.']",background,1.0
"['serotypeshift', 'occurred', 'years', 'predominance', 'denv1', '2010', 'denv2', '2013', 'denv1', '2016', '25', '.']",background,1.0
"['existing', 'applications', 'neural', 'meanfield', 'models', 'anesthesiainduced', 'changes', 'spontaneous', 'eeg', 'rhythmsmostly', 'focused', 'understanding', 'dynamical', 'mechanisms', 'underlying', 'biphasic', 'responses', 'bojak', 'liley', '2005', 'hutt', 'longtin', '2010', 'steynross', 'et', 'al', '.', '1999', '.']",background,1.0
"['phytophagous', 'arthropods', 'atranorin', 'reported', 'elicit', 'significant', 'avoidance', 'nimis', 'skert', '2006', 'reduce', 'growth', 'insect', 'larvae', 'pöykkö', 'et', 'al', '.', '2005', 'slansky', '1979', 'protective', 'effect', 'atranorin', 'noticed', 'snails', 'gauslaa', '2005', 'hesbacher', 'et', 'al', '.', '1995', '.']",background,1.0
"['undertaken', 'locations', 'including', 'ganges', 'delta', 'southern', 'bangladesh', 'wang', 'imhoff', '1993', 'everglades', 'national', 'park', 'simard', 'et', 'al', '.', '2006', 'madagascar', 'pasqualini', 'et', 'al', '.', '1999', 'kakadu', 'daintree', 'national', 'parks', 'australia', 'french', 'guiana', 'malaysia', 'lucas', 'et', 'al', '.', '2007', '.']",background,1.0
"['3', 'authors', 'bandwidth', 'l0', 'scratchpad', 'memory', 'l0y', 'times', 'larger', 'minimal', 'pixel', 'transferred', 'l1', 'l0', 'scratchpad', 'memory', '.']",background,1.0
"['takamori', 'et', 'al', '.', '2001', '\n', 'endocrine', 'cells', 'diencephalon', 'thalamus', '\n', 'presynaptic', '\n', 'brainstem', 'catecholaminergic', 'groups', '\n', 'stornetta', 'et', 'al', '.', '2002a', 'b', 'pvn', 'herman', 'et', 'al', '.', '2004', 'crh', 'cells', 'pp', 'wittmann', 'et', 'al', '.', '2013', '\n', 'viable', 'die', 'birth', '\n', 'moechars', 'et', 'al', '.', '2006', 'wallenmackenzie', 'et', 'al', '.', '2006', '\n', 'vglut3']",background,1.0
"['following', 'carreras', '2007', 'koo', 'collins', '2010', 'training', 'transform', 'training', 'set', 'trees', 'best', 'achievable', 'model', 'class', 'i.e.', 'closest', 'projective', 'tree', '1endpointcrossing', 'tree', '.']",method,0.8766060452990057
"['series', 'genes', 'termed', 'exo', 'involved', 'succinoglycan', 'biosynthesis', 'cloned', 'sequenced', '10', '11', '12', '67', '68', '103', '113', '.']",background,1.0
"['main', 'distribution', '13galactosidaseproducing', 'cells', 'tissues', 'different', 'lines', 'summarized', 'table', 'parallel', 'evaluation', 'collagen', 'vi', 'expression', 'products', 'control', 'embryos', 'different', 'locations', 'marvulli', 'et', 'al', '.', '1996', '.']",background,1.0
"['high', 'overlap', 'psd95', 'plcb1', 'signals', 'cerebral', 'cortex', 'confirming', 'defined', 'subcellular', 'location', 'plcb1', 'previously', 'demonstrated', 'western', 'blot', 'analysis', 'subcellular', 'fractions', 'taguchi', 'et', 'al', '.', '2007', 'electron', 'microscopy', 'fukaya', 'et', 'al', '.', '2008', '.']",background,1.0
"['neurodevelopmental', 'outcome', 'assessed', '24', 'months', 'revised', 'griffithäôs', 'scales', 'mental', 'development', '24', '.']",method,0.8766060452990057
"['antioxidant', 'bht', 'accumulates', 'predominantly', 'lung', 'induces', 'alveolar', 'epithelial', 'damage', 'action', 'aec1', '21', 'followed', 'proliferation', 'pulmonary', 'parenchymal', 'cells', 'resembling', 'human', 'uip', '2022', '.']",background,0.7263
"['unlike', 'cochrane', 'saarequejo', '2000', 'authors', 'use', 'sharpe', 'ratio', 'criterion', 'restrict', 'price', 'interval', 'assets', 'incomplete', 'markets', 'generalized', 'version', 'coherent', 'risk', 'measure', 'introduced', 'artzner', 'et', 'al', '.', '1999', '.', 'carr', 'et', 'al', '.', '2001', 'argue', 'economic', 'agents', 'invest', 'arbitrage', 'opportunity', 'invest', 'acceptable', 'opportunity', '.']",method,0.6246
"['stress', 'subsequent', 'activation', 'hpa', 'axis', 'facilitate', 'acquisition', 'cocaine', 'selfadministration', 'tidey', 'miczek', '1997', 'mantsch', 'et', 'al', '.', '1998', 'manipulations', 'hpa', 'axis', 'resulting', 'reduction', 'function', 'pharmacological', 'surgical', 'means', 'attenuate', 'acquisition']",background,0.7403
"['example', 'elk', 'form', 'smaller', 'groups', 'exposed', 'wolf', 'predation', 'risk', 'relatively', 'closed', 'habitats', 'creel', ' ', 'winnie', '2005', 'form', 'larger', 'groups', 'open', 'habitats', 'wolf', 'densities', 'higher', 'gower', 'et', 'al', '.', '2009', '.']",background,1.0
"['mechanisms', 'resistance', 'cddp', 'described', 'including', 'reduced', 'intracellular', 'accumulation', 'cddp', 'increased', 'detoxification', 'cddp', 'thiols', 'glutathione', 'metallothionein', 'increased', 'dnarepair', 'activity', 'increased', 'tolerance', 'dna', 'damage', 'galluzzi', 'et', 'al', '.', '2012', 'kelland', '2007', '.']",background,1.0
"['2000', 'skeletal', 'muscle', 'denervated', 'transection', 'sciatic', 'nerve', 'baumeister', 'et', 'al', '.', '1997', 'tsukamoto', 'et', 'al', '.', '2002', '.']",background,1.0
"['potentially', 'carcinogenic', 'effects', 'insulin', 'resistance', 'stem', 'abnormal', 'levels', 'glucose', 'fatty', 'acids', 'include', 'altered', 'intracellular', 'signaling', 'chronic', 'inflammation', 'resulting', 'production', 'reactive', 'oxygen', 'species', 'enhanced', 'proliferation', 'transformed', 'colonocytes', 'increased', 'energy', 'supply', '1', '.']",background,1.0
"['recent', 'studies', 'shown', 'global', 'flux', 'distribution', 'oleaginous', 'chlorella', 'protothecoides', 'chlamydomonas', 'reinhardtii', 'remains', 'stable', 'nitrogen', 'limiting', 'conditions', 'controlled', 'availability', 'carbon', 'precursors', 'xiong', 'et', 'al', '.', '2010', 'fan', 'et', 'al', '.', '2012', '.']",background,1.0
"['lemos', 'et', 'al', '.', '2015', 'baseline', 'allowed', 'division', 'amci', 'group', 'according', 'adalike', 'pattern', 'impairment', 'baseline', 'lemos', 'et', 'al', '.', '2015', 'associated', 'risk', 'conversion', 'ad', 'followup', 'studies', 'auriacombe', 'et', 'al', '.', '2010', 'petersen', '2007', 'sarazin', 'et', 'al', '.', '2010', '.']",result,0.7633
"['remarkable', 'developments', 'years', '16', 'structuring', 'largescale', 'visual', 'data', 'active', 'research', 'area', 'improvements', 'wide', 'applicability', '.']",background,1.0
"['2010b', 'jasmonic', 'acid', 'ja', 'truman', 'et', 'al', '.', '2007', 'azeleic', 'acid', 'aa', 'jung', 'et', 'al', '.', '2009', 'cdr1derived', 'peptide', 'xia', 'et', 'al', '.', '2004', 'plastid', 'glycerolipids', 'nandi', 'et', 'al', '.', '2004', 'chaturvedi', 'et', 'al', '.', '2008', 'g3p', 'chanda', 'et', 'al', '.', '2011', 'abietane', 'diterpenoid', 'dehydroabietinal', 'chaturvedi', 'et', 'al', '.', '2012', '.']",background,1.0
"['rural', 'calculated', 'relative', 'prevalence', 'missing', 'value', 'demographic', 'fitness', 'variables', 'logistic', 'regression', '49', '.']",method,0.8766060452990057
"['consequently', 'findings', 'study', 'suggest', 'increased', 'pwv', 'noted', 'new', 'onset', 'diabetes', 'kidney', 'transplantation', '4849', 'present', 'transplantation', 'result', 'prediabetes', 'insulin', 'resistance', 'uraemic', 'patients', 'awaiting', 'kidney', 'transplant', '.']",background,1.0
"['adjusted', 'relative', 'risk', 'estimates', 'paf', 'estimates', 'biased', 'unaccounted', 'confounding', 'factors', 'leadings', 'overestimation', 'paf', '51', '.']",background,0.7441
"['mutations', 'sgl', 'locus', 'identied', 'demonstrating', 'cuticle', 'phenotype', 'similar', 'wingless', 'wg', 'mutants', 'haè', 'cker', 'et', 'al', '.', '1997', 'haerry', 'et', 'al', '.', '1997', '.']",background,0.6161
"['followup', 'study', 'clinical', 'sample', 'amir', 'et', 'al', '.', '2012', 'individuals', 'sad', 'similarly', 'lacked', 'positive', 'reaction', 'time', 'bias', 'relative', 'controls', 'sad', 'interestingly', 'differ', 'reaction', 'time', 'endorse', 'reject', 'negative', 'interpretations', 'social', 'sentences', '.']",background,0.7289
"['data', 'avian', 'influenza', 'outbreaks', 'vietnam', '2003', '2006', 'provided', 'epidemiology', 'unit', 'department', 'animal', 'health', 'ministry', 'agriculture', 'rural', 'development', 'vietnam', 'characteristics', 'dataset', 'explained', '6', '.']",method,0.8766060452990057
"['regard', 'family', 'fit', 'evidence', 'minority', 'deaf', 'couples', 'prefer', 'deaf', 'children', 'consider', 'prenatal', 'diagnosis', 'identify', 'terminate', 'hearing', 'fetus', 'middleton', 'et', 'al', '.', '2001', '.']",background,1.0
"['reported', 'temporary', 'bite', 'change', 'occurs', 'patients', 'morning', 'removal', 'appliance', 'permanent', 'occlusal', 'changes', 'observed', 'longterm', 'treatment', 'oas', 'individual', 'cases', '19', '.']",background,0.7346
"['study', 'differed', 'ne', 'achieved', 'birds', 'given', 'liquid', 'inoculations', 'cultures', 'mixed', 'feed', 'chalmers', 'et', 'al', '.', '2007', 'cooper', ' ', 'songer', '2010', '.']",result,1.0
"['prolonged', 'imbalance', 'systemic', 'hemodynamics', 'insufficient', 'postprandial', 'sympathetic', 'activation', 'cause', 'pph', 'jansen', 'lipsitz', '1995', 'umehara', 'et', 'al', '.', '2014', 'hirayama', 'et', 'al', '.', '1993', 'mathias', '1991', '.']",background,1.0
"['reflect', 'early', 'face', 'processing', 'mechanisms', 'related', 'structural', 'encoding', 'faces', 'bentin', 'deouell', '2000', 'bentin', 'et', 'al', '.', '1996', 'eimer', '2000a', 'holmes', 'et', 'al', '.', '2003', 'found', 'insensitive', 'changes', 'facial', 'expression', 'eimer', 'et', 'al', '.', '2003', 'holmes', 'et', 'al', '.', '2003', 'familiarity']",background,0.7525
"['results', 'consistent', 'findings', 'literature', 'visual', 'impairment', 'common', 'patients', 'rehabilitation', 'facilities', 'cox', 'et', 'al', '.', '2005', 'grue', 'et', 'al', '.', '2009', 'lieberman', 'et', 'al', '.', '2004', 'lotery', 'et', 'al', '.', '2000', 'park', 'et', 'al', '.', '2005', 'squirrell', 'et', 'al', '.', '2005', 'wainapel', 'et', 'al', '.', '1989', '.']",result,0.8766060452990057
"['femurs', 'fractured', 'simulating', 'fall', 'greater', 'trochantor', 'modified', 'hayesfall', 'configuration', 'courtney', 'et', 'al', '.', '1995', '.']",method,0.8766060452990057
"['potential', 'bclxl', 'modulate', 'channels', 'outer', 'mitochondrial', 'membrane', 'suggested', 'finding', 'bclxl', 'regulates', 'open', 'state', 'mitochondrial', 'voltagedependent', 'anion', 'channel', 'vdac', 'synthetic', 'membranes', 'degterev', 'et', 'al', '.', '2001', 'vander', 'heiden', 'et', 'al', '.', '2001', '.']",background,1.0
"['agreement', 'results', 'different', 'antibiotics', 'led', 'negatively', 'charged', 'zeta', 'potential', 'gramnegative', 'bacteria', 'consequence', 'modification', 'complete', 'loss', 'lps', 'andor', 'lipid', 'outer', 'membrane', 'winfield', 'et', 'al', '.', '2005', 'gooderham', 'hancock', '2009', 'moffatt', 'et', 'al', '.', '2010', '.']",result,0.8766060452990057
"['depression', 'assessment', 'montgomeryåsberg', 'depression', 'rating', 'scale', 'madrs', '13', 'increasingly', 'employed', 'clinical', 'research', 'results', 'earlier', 'studies', 'suggested', 'scale', 'superior', 'traditional', 'hamd17', 'respect', 'sensitivity', 'change', '131415', 'psychometric', 'properties', '16', '.']",method,0.8766060452990057
"['results', 'consistent', 'findings', 'selective', 'migration', 'stimulated', 'lymphocytes', 'specific', 'effector', 'sites', 'mucosal', 'immune', 'system', '31', '.']",result,0.8766060452990057
"['reduce', 'indels', 'offtarget', 'sites', 'double', 'nicking', 'opposite', 'strands', 'ruvc', 'dead', 'mutant', 'cas9d10a', 'grnas', 'proposed', 'ran', 'et', 'al', '.', '2013a', 'shen', 'et', 'al', '.', '2014', '.']",background,0.619
"['example', 'second', 'version', 'microsoft', 'kinect', 'kinect', 'v2', 'lowcost', 'highspeed', 'timeofflight', 'tof', 'sensors', 'market', '3', '.']",background,1.0
"['gfppex34p', 'like', 'peroxisomal', 'matrix', 'protein', 'pot1p', 'localized', 'preferentially', '20000', ' ', 'g', 'pellet', '20kgp', 'fraction', 'enriched', 'mature', 'peroxisomes', 'forms', 'immature', 'peroxisomes', 'tam', 'et', 'al', '.', '2003', 'vizeacoumar', 'et', 'al', '.', '2003', '2004', 'figure', '1b', '.']",method,0.609
"['study', 'coated', 'niti', 'wires', 'showed', 'deflection', 'unloading', 'force', 'loading', 'force', 'consistent', 'previously', 'reported', '\n', 'results', 'lim', 'et', 'al', '.', '94', 'krishnan', 'kumar', '2004', 'elayyan', 'et', 'al', '.', '2008', '2010', 'alavi', 'hosseini', '2012', 'wilkinson', 'et', 'al', '.', '2012', '.']",result,1.0
"['8', 'investigated', 'thermal', 'decomposition', 'processes', '10', 'types', 'natural', 'fibres', 'commonly', 'polymer', 'composite', 'industry', '.']",background,1.0
"['evaluation', 'impact', 'accuracy', 'nodes', 'response', 'performed', 'supported', 'frequency', 'comparing', 'results', 'reference', 'model', 'programmed', 'matlab', 'mimics', 'nodes', 'architecture', '3', '4', '5', '6', '.']",result,0.731
"['mothers', 'incomplete', 'sociodemographic', 'labor', 'data', 'n', ' ', '36', 'caesarean', 'sections', 'n', ' ', '42', 'exceptionally', 'long', 'labor', ' ', '24', 'hours', 'n', ' ', '1', 'excluded', 'labor', 'reported', 'influence', 'lymphocyte', 'distribution', '15', 'leaving', '1397', 'subjects', 'study', '.']",background,0.7273
"['conclusion', 'consistent', 'results', 'conclusions', 'fu', 'et', 'al', '.', '2002', 'allowed', 'n22', 'patients', '3', 'mo', 'adapt', 'octave', 'shift', '.']",result,0.8766060452990057
"['role', 'local', 'effects', 'dust', 'land', 'surface', 'changes', 'having', 'potentially', 'intensified', 'drought', 'conditions', 'dust', 'bowl', 'era', 'importance', 'factors', 'discussion', 'mccrary', 'randall', '2010', 'broennimann', 'et', 'al', '.', '2009', 'cook', 'et', 'al', '.', '2009', 'hoerling', 'et', 'al', '.', '2009', '.']",background,1.0
"['clinically', 'important', 'feature', 'length', 'mbs', 'referred', 'width', 'mohlenkamp', 'et', 'al', '.', '2002', 'ozbag', 'et', 'al', '.', '2002', 'ozbag', 'kervancioglu', '2004', '.']",background,1.0
"['design', 'captured', '11383697', 'bp', 'nonrecombining', 'malespecific', 'ychromosome', 'consistent', 'regions', 'genotyped', 'previous', 'y', 'sequencing', 'studies', '41', 'y', 'positions', 'placed', 'phylogenetic', 'tree', 'y', 'chromosome', 'consortium', '28', '.']",method,0.8766060452990057
"['straight', 'lines', 'semilog', 'plots', 'indicative', 'exponential', 'distributions', '436', '.']",background,1.0
"['extended', 'yale', 'b', '14', 'dataset', 'contains', 'frontal', 'face', 'images', '38', 'individuals', '64', 'different', 'illumination', 'conditions', '.']",method,0.8766060452990057
"['2003', 'maier', '2003', 'capability', 'rarely', 'reported', 'coldadapted', 'isolates', 'yakimov', 'et', 'al', '.', '1999', 'pini', 'et', 'al', '.', '2007', 'cai', 'et', 'al', '.', '2014', '.']",background,1.0
"['27', 'lineweaverburke', 'equation', 'calculate', 'maximum', 'deformability', 'eimax', 'shear', 'stress', 'required', 'onehalf', 'maximal', 'deformation', 'ss', 'k.']",method,0.8766060452990057
"['earlyfruit', 'removal', 'cotton', 'study', 'plant', 'recovery', 'potential', 'sourcesink', 'relation', 'dong', 'et', 'al', '.', '2008b', '.']",background,0.7373
"[' ', 'efficient', 'pure', 'tsp', 'heuristics', 'linkernighan', 'heuristic', 'lkh', 'lin', 'kernighan', '1973', 'lkh', 'implementation', 'helsgaun', '2000', 'httpwww', '.']",method,1.0
"['forms', 'elevated', 'ck', 'signaling', 'ck', 'application', 'overexpression', 'ipt', '39', '40', 'knotted', 'genes', '41', 'insufficient', 'promote', 'tubers', 'tomato', 'probably', 'inappropriate', 'local', 'hormonal', 'balances', 'changing', 'ratios', 'ck', 'metabolites', '42', '.']",background,0.7569
"['mb', 'morphogenesis', 'involves', 'dscam', 'variants', 'lacking', 'exons', '19', '23', 'past', 'studies', 'shown', 'dscam', '19', '23', 'transgene', 'matter', 'ectodomain', 'carries', 'fused', 'gfp', 'c', 'terminus', 'effectively', 'prevent', 'sister', 'branches', 'extending', 'axon', 'bundle', 'singlecell', 'clones', 'dscam', 'mutant', 'neurons', 'wang', 'et', 'al', '.', '2004', 'zhan', 'et', 'al', '.', '2004', 'soba', 'et', 'al', '.', '2007', '.']",result,0.6004
"['finding', 'different', 'previous', 'analysis', 'original', 'survey', 'data', 'aod', 'use', 'unrelated', 'major', 'depression', 'controlling', 'social', 'behavioural', 'variables', 'mao', 'et', 'al', '.', '2009b', '.']",result,1.0
"['given', 'bare2', 'chimera', 'bare1', 'wis2', '25', 'likelihood', 'sequences', 'adjacent', 'arrays', 'undergone', 'multiple', 'rounds', 'recombination', '.']",background,0.7414
"['28item', 'dissociative', 'experiences', 'scaleii', 'desii', 'measures', 'frequency', 'psychoform', 'dissociative', 'experiences', '0100', 'scale', 'bernstein', ' ', 'putnam', '1986', 'carlson', ' ', 'putnam', '1993', '.']",background,0.7762
