string,label,label_confidence,length
The rats were placed on a high-salt diet (8% NaCl) except normotensive control for 9 weeks by adding 8% NaCl to the feed [20].,method,0.7547,Short
"It may also be that disease activity in psoriasis correlates with levels of CD-associated antibodies (Lindqvist et al., 2002; Woo et al., 2004).",background,1.0,Short
"COQN-term anti-COQ7(1-37)specific antibodies were derived using the same protocol but starting with antiCOQ7 (Santa Cruz, sc-135040).",method,1.0,Short
PTOV1 can bind to flotillin-1 (Santamaria et al. 2005) and the 14-3-3 protein (Benzinger et al.,background,1.0,Short
"Fusion between the virus membrane and the plasma membrane of intact cells can be induced by a drop in pH, and in this case the cells were infected (White et aL, 1980).",background,1.0,Short
"Earlier, we studied potential four- and three-stranded architectures that may participate in GQ folding pathways (60,61).",background,0.7268,Short
Doses were based on pilot studies as well as data reported in the literature (McGregor and Roberts 1995).,method,,Short
Functional status was measured by eight items from the Lawton–Brody Instrumental Activities of Daily Living Scale [14]: e.,method,,Short
", 2007), and Cytb(6)f complex (Stroebel et al., 2003) were cloned into the AD vector pGADGH to form the mini-library.",method,,Short
harzianum the qid74 gene encodes a cell wall protein which has an important role in adherence to hydrophobic surfaces and cellular protection [34].,background,1.0,Short
"The results presented here are in general agreement with results previously reported for [3H]DHA (1, 9) and [14C]artemisinin (25) uptake.",result,,Short
"Some concepts of theory contraction and revision are studied, for example, by Alchourr6n, Gardenfors and Makinson in [1], [2], [6], [12].",background,0.6978000000000001,Short
", 2004; Van Alstyne and Puglisi, 2007), and MT production through anaerobic processes in the sediment (Lomans et al., 2002).",background,0.7315,Short
"There are also many other relevant approaches to model-based assurance of security-critical systems which are not based on UML, such as [14, 18].",background,0.7481,Short
Tivozanib serum concentrations were determined using a validated HPLC–MS/MS assay [5].,method,1.0,Short
These results are in agreement with a previous report concerning the inhibitory effect of CFTR on VSOR currents in CPAE and COS cells [51].,result,1.0,Short
"To induce acute lung injury, E coli 0111:B4 LPS (1 mg/kg) in PBS was administered into the oropharynx as previously performed (15, 50, 51).",method,,Short
IV APAP was associated with fewer potential ORADEs [37] than oral APAP in Cesarean section surgeries (relative risk = 0.,background,1.0,Short
The aVOR time constant was determined by Wtting slow phase eye velocities with the velocity storage model approach (Dai et al. 1999).,method,,Short
"For our implementation, we used HElib [8], which is an implementation of the Brakerski-Gentry-Vaikuntanathan (BGV) scheme proposed in [2].",method,,Short
"1, data not shown), suggesting that epithelial cell apoptosis induced by reovirus 1/L is limited (19, 20).",background,1.0,Short
"involving phosphatidylinositol (PI) 3-kinase (53), protein ki* Corresponding author.",background,0.7246,Short
"Increased expression of Smad6 and Smad7 has also been described in human pancreatic and prostate carcinomas [20,21], respectively.",background,1.0,Short
"The pigs were killed at the end of the infusion, and tissue was collected as previously described (10).",method,,Short
"In the study of Park et al., 2005 it was proposed that IFN-γ employs the MEK/ERK signalling pathway to induce NF-κB activation in BV2-cells (Park
et al., 2005).",background,0.7431,Short
"well with the characteristics of tryptophan fluorescence spectra (Boubellouta and Dufour 2008), which is present in meat proteins.",background,1.0,Short
"5, TBX5) have been identified to be associated with AF by genome wide association studies (GWAS) [16, 18, 22, 25, 39, 46].",background,1.0,Short
Static Single Assignment (SSA) [2] is a standard program representation used in modern optimizing compilers.,background,0.770999999999999,Short
"In the numerical experiments, we set, as suggested in [16], β = 10−2, η = 0.",method,0.636,Short
"Although these occipital components are modulated by spatially-focused attention (Hillyard and Anllo-Vento, 1998), it was not predicted that these components would",background,1.0,Short
"For each syllable, F0 was time-normalized by extracting 10 temporally equidistant F0 measurements using the Praat script ProsodyPro [31].",method,,Short
"For example, one of the two human Caf1 orthologs, hCaf1, associates with the arginine methyltransferase, PRMT1 [42].",background,1.0,Short
+1-701-777-2624; Fax +1-701-777-3894 e-mail kevin'y~ medicine'und'n~ raise for reducing rejection of organ transplants in mammals (Kino and Goto 1993).,background,1.0,Short
rufifacies were still observed flying around deer carrion when the ambient temperature was ∼9 °C in South Carolina of USA (Cammack and Nelder 2010).,background,1.0,Short
"(orb), egl, and BicD (Costa et al., 2005; Mach and Lehmann, 1997; Suter and Steward, 1991).",background,1.0,Short
The Alberta Stroke Program Early CT Score (ASPECTS) was evaluated on the initial non-enhanced CT [21].,method,,Short
"For some PESP-models, the genetic algorithm that has been proposed by Nachtigall and Voget ([15]), constitutes a competitive alternative ([11, 5]).",method,0.6066,Short
"errors of all expressed transcripts in the diploid C57Bl/6J, Cast/EiJ transcriptome were estimated using MMSEQ (Turro et al., 2011) for each mapped",method,0.7446,Short
The 8-point RLS is widely used in Sweden in some emergency departments and neurosurgical units instead of the GCS.,method,0.7564000000000001,Short
"It was related for females of Bitis nasicornis (Marsh and Glatston, 1974), Crotalus adamanteus (Mebs and Kornalik, 1984), and Calloselasma rhodostoma (Daltry et al.",background,0.7551,Short
"However this mostly affects preprocessor macros and demacrofication [76] allows those to be replaced by function calls, which are accurately represented in the bitcode.",background,1.0,Short
"A video version of this idea has been explored as well [8,9], with varying degrees of success.",background,0.7332000000000001,Short
"Another MAGE family member, Dlxin-1 (encoded by the Maged1 gene), has also been shown to complex with necdin and Msx/Dlx family members (17).",background,0.7482000000000001,Short
This transient response to +CO2 has been observed in several experiments (Norby and others 1999; Körner 2006).,background,0.7335,Short
"Comparing Saudi DIDS with previously reported cases [Table III] [10, 18, 19], our patients have less rate of cutaneous viral infections [p value: 0.0019 ].",result,1.0,Short
"The PCR reactions were multiplex PCR using three sets of primers: Mycgen-F, Mycgen-R, Mycav-R; RD4F, RD4R, RD4intF; and RD10F, RD10R, RD10intR [28].",background,0.6017,Short
"Positive control sections for SPARC were of mouse kidney (Kopp et al., 1992) and were always positive.",background,1.0,Short
"in allele substitution effect, due to the overall rarity of such genetic effects when measured in large sample sizes [16,19,20,21].",background,1.0,Short
"Dearman and Peirce [1] extended this investigation to a population of academics and industry workers, and documented how these users",background,0.7498,Short
Similar results were found by Sideris et al. (1999) in Greece and Mohebali et al. (2005) in Iran.,result,,Short
"In the literature there are some papers related with this topic by studying changes between two time-invariant filter banks [10,11,12].",background,1.0,Short
Fecal fat was estimated by Van de Kamer quantitative method and fecal fat content >7 g/day in adults was taken as abnormal [15].,method,,Short
"In another study, 550 V of high-voltage electrical stimulation was applied to Cabrito carcasses, and ES increased a∗ and b∗ values of carcasses [10].",background,0.8003,Short
"A similar result was obtained by Monteiro et al. (2011), who also found no seasonal differences in bark regeneration of M. urundeuva.",result,,Short
"Since the hypothetical Q1 chair GQ is stable in standard simulations with full ion binding, we applied the unfolding (denaturing) no-salt simulation (60,78).",method,1.0,Short
"In addition, it has also been reported that Dox impairs cardiac autophagosome formation and its degradation, resulting in cardiac dysfunction (18).",background,1.0,Short
The maturation and mineralization of the newly formed bone in the extraction socket can be accelerated or improved by graft materials[13].,background,1.0,Short
"These were derived from prior non-operative studies for inguinal hernia and ventral hernia [15, 23, 28, 29].",method,,Short
"Literature values for hydrolysis of DG and DGS range from 100 to 180 mg/g (Kim et al., 2008b; Tucker et al., 2004; Bals et al., 2009; Noureddini et al., 2009).",background,1.0,Short
"FaultTracer [80] and TestTube [13] collect dependencies on methods, Echelon [68] collects dependencies on basic blocks, etc.",method,,Short
"Later, due to spontaneous symplasmic isolation, plasmatic connections between shield cells as well as between shield cell, basal cell and manubrial cell break [10].",background,1.0,Short
"crime and traffic), which might account for the limited association (Ding et al., 2011).",background,1.0,Short
"Why our results differ from studies of tropical forests (e.g., Augspurger 1983, 1984; Augspurger and Kelly
 1984; Kitajima and Augspurger 1989) is unclear.",result,,Short
SVMs have also been proved to outperform other nonlinear techniques including neural network-based techniques such as multilayer perceptrons (MLP) [8].,background,0.7685000000000001,Short
"guidance, angiogenesis, and long-term potentiation, a form of associative synaptic plasticity observed at hippocampal synapses (Klein, 2008).",background,0.7625000000000001,Short
"Age or growth-dependent increases of trace-elements (such as Hg and Se) were often found in tissues of top-predators (Kunito et al., 2004; Seixas et al., 2009).",background,1.0,Short
"The rows represent the model from Bikel and Chiang (2000) and Bikel (2004), the SVM and ensemble models from Wang et al. (2006), and our parser, respectively.",method,,Short
"[33] reported that selenium deficiency led to a decline in selenoprotein levels, which resulted in a deficiency in muscle functions.",background,1.0,Short
"micranthos were sampled in 102 sites in its invaded and native ranges, as previously reported (Shipunov et al., 2008).",method,0.6292,Short
There is no doubt that IgA nephropathy is an extremely common disease (5-8).,background,1.0,Short
"As discussed in [3, 36], non-rigid parts of animal categories usually present great challenges for part localization.",background,1.0,Short
"Noscapine (Nos) is an antitussive agent that has been used for decades for its cough-suppressive action (Ke et al., 2000; Ye et al., 1998).",background,0.7709,Short
"In eight of these patients, venous or arterial thromboembolism was the reason for hospital admission and subsequent heparin therapy [16, 22, 32, 36, 42].",background,1.0,Short
"Besides, it provides intelligence to both the physical and medium access control (MAC) layers and network information to upper layers [8].",background,1.0,Short
context (Cooper et al. 1994; Coggon et al. 2000; Sandmark et al. 2000; Seidler et al. 2008; Klussmann et al. 2010).,background,1.0,Short
"For comparison, we also implement the multiparty FSS scheme in [14] using 2048 bit Paillier encryption [48].",method,,Short
"This result is comparable to results of previous reports that showed a prevalence of ON after internal fixation to be between 11 and 25% [1, 4, 16, 18, 27, 28].",result,,Short
"For example, by using IBN-Net, DenseNet169 [13], ResNet101 [8], ResNeXt101 [31], and SE-ResNet101 [12], outperform their original versions by 0.",background,0.7419,Short
It has been shown that the dopaminergic protection exerted by estradiol involves the interaction between neurons and astrocytes [10].,background,1.0,Short
"The content of neutral detergent fi ber (NDF) was evaluated according MERTENS (2002), using an Ankom fi ber analyzer.",method,0.7759,Short
"4%) individuals with psoriatic arthritis had CD (the Swedish study used no controls; Lindqvist et al., 2002).",background,0.7283000000000001,Short
"Climate15 change alters global meteorological processes such as atmospheric circulation and precipitation (Seneviratne et al., 2006; IPCC 2012).",background,1.0,Short
5-fold more often at late stationary phase (323 sites) (Okanishi et al. 2014) than mid-stationary phase (129 sites; this study).,background,1.0,Short
Both crude and adjusted prevalence ratios were calculated from odds ratios produced by the logistic regression models using the approach suggested by Cummings (2009).,method,,Short
"These results support a model in which EBV matures via a similar pathway to other herpesviruses, as previously thought (Johnson and Baines, 2011; Henaff et al., 2012).",result,,Short
"computationally expensive, including DTW [26], [38], [4], [25] and EDR [11], whose computation cost is OðnÞ, where",background,1.0,Short
"K+–2Cl− cotransporter (NKCC2) and the K+ channel (ROMK) in the TAL (Riccardi & Brown, 2010).",background,0.7344,Short
"This was supported by the results of multivariate analysis that showed PiB PET to be the strongest predictor of progres-
 sion to AD.",result,,Short
"studies available comprise a limited and inhomogeneous patient sample [5,6,8-11,13].",background,0.7574000000000001,Short
"The face detector, built with the same approach as that of Viola and Jones [16], had an accuracy of more than 95 %.",method,,Short
"All these results recently obtained, in a rat model of pancreatic cancer [33] are in agreement with our results.",result,,Short
"2014) in eukaryotes, and propionylation in bacteria (Okanishi et al. 2014) were recently revealed as prevalent PTMs.",background,1.0,Short
Our results show that gene flow has indeed had a contribution to the recovery after bottlenecks as suggested by Hailer et al. (2007).,result,,Short
"In more than 150 human WAT samples collected and processed as we previously described (5, 11), the percentage of nonhematopoietic (CD45",method,0.7421,Short
in [22] pointed out that it would be interesting to investigate discontinuous neural networks with more general delays.,background,0.7541,Short
"We also measured the performance of our techniques on a model of a concurrent binary search tree, which was also used in [89].",method,,Short
"Chloride uptake experiment was performed essentially as described by us previously [23, 24].",method,0.7678,Short
We used the same setup that was used by McIntosh & Lashley [11] and Borchers et al.,method,,Short
"This method, which we used previously (22, 24), maintained a constant temperature, pH, PCO2, and PO2 of the suffusate during infusion of drugs.",method,1.0,Short
"During the early stages of autophagic induction, LC3-I is conjugated with phophatidylethanolamine, to produce LC3-II (Mizushima and Yoshimori 2007).",background,0.746,Short
"Intestinal permeability was determined using the Smurf assay, as described by Rera et al. (2011), (2012).",method,1.0,Short
"in the brain of ALS and FTLD patients are highly prone to aggregation.(17,22,31,32) Furthermore, it was reported that wild-",background,1.0,Short
"However, several studies [3,4,5] of bipolar patients with and without lithium treatment have found similar results in personality.",result,,Short
"by the ICMJE [16], and none limited inclusion to trials completed after the 2007 U.",method,0.7094,Short
"There are now several papers (for instance [12, 3, 4, 5, 6]) with bounds polynomial in the number of variables concerning the quadratic case.",background,1.0,Short
"Here, we rely on the freely available implementation of the Haar face detector that ships with the OpenCV library [3].",method,,Short
"We used lipid/biomass ratios and tissue thickness as measures of coral health at the time of collection [25,44].",method,1.0,Short
"An example of the OR request model is a read request for a replicated data object, where reading any copy of the data satisfies the request [16].",background,0.7393000000000001,Short
The NE turnover rate is calculated as the product of k times the endogenous concentration of NE at time 0 (1).,background,1.0,Short
fast growing and nutrient sensitive) bacteria in seawater recruiting to the mucus matrix and increasing rapidly in abundance (Allers et al. 2008).,background,1.0,Short
"The median operative time in our study was 82 minutes for LA, which is relatively longer than that reported by other studies.[20-22] This",result,,Short
The importance of reliable M-shell Fe DR data has also been shown by the analyses of recent Chandra and XMM AGN spectra.,method,,Short
Online retrieval for SNP genotype information from NCBI using SNP ID and gene input is similar to the function described in the SNP-Flankplus [17] and SNP ID-info [18].,method,,Short
"00D between the right and left eyes.[8,14,18] Although photorefraction is not able to accurately determine refractive measurements in eyes with myopia>7.",background,1.0,Short
"Expression values for PIF3 were calculated using the equation 2-ΔΔCt, and 18S rRNA served as the control (Livak and Schmittgen, 2001; Pfaffl, 2001).",method,1.0,Short
These results seem to contradict previous findings indicating that alcohol-related harm is closely related to prices on distilled spirits [7-12].,result,,Short
topology: a package for performing structural analysis ‚Äì the current version contains the reporter metabolites algorithm of Patil & Nielsen [22].,method,,Short
"In
addition, there are continued new developments in lowcost, light-weight, and long-duration UAVs (Lucieer et al. 2014).",background,1.0,Short
"In this experiment, we also use the 10-fold cross validation, and we also use the F-score, AUROC, and RPBEP performance measures.",method,,Short
"The values of the free parameters mij ∈ [0, 2], bij ∈ [0, 1], and aij ∈ [−2, 2] are searched to find a betterperformed fuzzy predictor.",background,1.0,Short
"These results support those of Good et al. (2001) who also found that, compared with men, adult women had higher WM density bilaterally within the internal capsule.",result,,Short
"But concurrently, Amazon competes with Apple on the device layer with its own Kindle eBook readers and tablets [57].",background,1.0,Short
These values are consistent with previous studies (Akiyama et al. 2010; Liu et al. 2009; Wilson et al. 2011).,result,1.0,Short
previously hypothesized that disturbance in the pseudoautosomal regions may disrupt pairing of the sex chromosomes during meiosis [13].,background,1.0,Short
"In the Pascal VOC Part dataset [3], we used four parts for the bird category.",method,1.0,Short
"Exercise has been recommended for the prescription but the exact intensity of physical activity is still unclear (Duschek and Schandry, 2007).",background,1.0,Short
Metaanalysis was undertaken using the meta command in PLINK [19] in the entire samples and in a sample limited to individuals treated with a serotonergic antidepressant.,method,,Short
"The techniques used in this field [3], [4], [5] have to do with agent-based models and simulations.",method,1.0,Short
"Previously, we reported that HMGA1 is a novel target of ATM following DNA damage (Pentimalli et al., 2008).",background,0.7462000000000001,Short
1986) and used to determine ptDNA copy number (Oldenburg and Bendich 2004; Zheng et al. 2011).,method,0.7364,Short
"17Recently, Davidsson & Sibbertsen (2002) introduced a model which nests the Error Duration model of Parke (1999).",background,0.6011000000000001,Short
The low level of Cd can be attributed to its continuous removal by leafy green plants grown in the designated areas (Yadav et al. 2013).,background,0.7386,Short
"Several practical, environmental, and biochemical characteristics of EOs make them a potential alternative for insect pest management [3,4].",background,0.747,Short
"Cells were analysed on a FACScan device (Becton Dickinson) as described previously (Hu et al., 2004).",method,,Short
"The first experimental contribution to unravelling the molecular mechanism of CRISPR processing came from Escherichia coli studies (Brouns et al., 2008).",background,0.6073000000000001,Short
"This fact agrees with our previous data, which showed that ATP production after UV treatment is attributable to the metabolism of the DNA degradation products [2].",method,0.7582,Short
"This suggests a generalized reinforcement rule that is still in the class of EWA [12, 18] approaches:",background,0.7723,Short
"Measurements of pH and pepsin in the refluxate thus provide information helpful to an understanding of the pathophysiology in these patients (17, 23, 39).",background,0.7568,Short
"Nevertheless, previous studies from the same setting in 2011 [23], and subsequently in 2012–2014 [38], persistently identified a role of B.",result,,Short
"Approximately 1/3 of the glucan in DGS is starch, indicating the need for amylase as well as cellulase (Kim et al., 2008a).",background,0.7415,Short
"This supports and complements the recent results of Baik, Deift, and Johansson (1999), who apparently knew of the monte-carlo results of Odlyzko and Rains (2000).",result,,Short
", 2010) and Zn (Religa et al., 2006) have been observed in the cortex of human AD patients.",background,1.0,Short
[11] take the simplest possible approach to constructing a subspace which captures the variation in illumination.,background,0.736,Short
"recent studies have shown that lifetime incidence could be as high as 25 % [1, 5].",background,1.0,Short
"By modulating the membrane conductance of the postsynaptic neurons, tonic inhibition greatly influences the excitability of single neurons as well as networks [14].",background,1.0,Short
"At the same time, Snail also regulates the transcription of Ncadherin [21, 22].",background,1.0,Short
This issue has very little been studied in the context of reproductive outcomes (Brauer et al. 2008).,background,0.7729,Short
The regularization method introduced in [16] and our present regularized method were conceived with quite different purposes.,method,0.7392000000000001,Short
"Patients with hyperuricemia often have glomerular hypertrophy and tubule interstitial injury independent of intrarenal crystal formation [6, 7].",background,1.0,Short
"mine (DA), norepinephrine (NE), and serotonin (5-HT) reuptake, and the enhanced monoaminergic signals lead to addictive behaviors (Ritz et al. 1990; Ritz et al. 1987).",background,1.0,Short
"SphK1 was found over-expressed in ovarian cancer [30, 31], participating tumorigenesis and tumor cell resistance [30–32].",background,1.0,Short
"Typically however, when a fungus was isolated from a seed, it was the only isolate, and roughly 74% seeds were free of all culturable fungi (Shipunov et al., 2008).",background,0.7644000000000001,Short
Anderson and von Meyenburg (1) likewise observed that the specific rate of respiration by E.,background,0.7476,Short
"1 The stratified bisimulation relations (Milner, 1980; Hennessy and Milner, 1985) ∼k⊆ Pr× Pr for k ∈ N are defined as follows:",background,1.0,Short
"CGRP increases the proliferation of osteoblasts (9,17), prevents bone loss when delivered systemically to ovariectomized (OVX) rats (18).",background,0.7418,Short
"movements that are relevant to late stages of folding, as described elsewhere (60,78).",background,1.0,Short
LASTZ represents a new implementation of the previous BLASTZ (30) algorithm and includes several improvements (29).,method,1.0,Short
"each capture the contributions of classes of radiation effects: hard, collinear and wide-angle soft radiation [34–39].",background,0.7356,Short
"We compare SISI with the dynamic programming algorithm, temporarily called k-effector, in [21] when the infection process follows the IC model.",result,0.6052000000000001,Short
Figure 6 shows the segmentation of the AVG page with the implementation of the BOM approach.,method,,Short
"The membrane fluorescence and lipid fluidity of cells were measured in accordance with the method described by Shinitzky and Inbar [30, 31].",method,,Short
"On the other hand, transgenes were expressed in the central nervous system and in the retina, tissues where collagen VI was not detected (Marvulli et al., 1996).",background,1.0,Short
", 2003), none identify specific mechanisms by which successful invaders establish and expand their new ranges (Ehrlich, 1989; Mack et al., 2000; Viet and Lewis, 1996).",background,1.0,Short
RNA molecules are extremely sensitive and easily degraded by ribonucleases (RNases) or contaminated by genomic DNA during the isolation process (Schroeder et al. 2006).,background,0.7496,Short
"In the first pass, we display the diffuse lobe of the BRDF through spherical harmonic environment map rendering [Ramamoorthi and Hanrahan 2001].",method,,Short
"GM requires that the input to a neuron is highly variable, and it vanishes for a constant input current (Holt & Koch, 1997).",background,1.0,Short
"Only, two studies [3, 56] reported inclusion criteria for entry into the maintenance phase.",background,1.0,Short
"Variations in transcript levels were determined by real time PCR amplification of cDNAs of interest after RT of total mRNAs, as previously detailed (Nadam et al. 2007).",method,,Short
Each fragment was purified and submitted to sequence analysis in the MegaBACE 1000 DNA Analysis System (Amersham Biosciences).,method,,Short
"Regarding the RNA content of EVs, they were found to carry both mRNAs and small RNAs (Valadi et al., 2007; Crescitelli et al., 2013).",background,0.7651,Short
"Expression values for PIF3 were calculated using the equation 2-ŒîŒîCt, and 18S rRNA served as the control (Livak and Schmittgen, 2001; Pfaffl, 2001).",method,,Short
"ization properties (4), and their in vivo optimization and therapeutic efficacy in HER2-overexpressing tumor models (27).",background,0.7553000000000001,Short
